interview__key,METODO,Coord1__Latitude,Coord1__Longitude, EDAD , GENERO ,INT DE VOTO X ESPACIO,RADIO
56-56-25-81,F2F,-32.8814575122669,-60.6952736992389,56 y mas, Masculino ,LIBERTARIOS,820840409
67-96-98-06,F2F,-32.8822587803006,-60.6935706641525,36 a 45, Masculino ,OTROS,820840410
24-21-01-39,F2F,-32.8847307000000,-60.6928819000000,56 y mas, Femenino ,OTROS,820840502
84-96-80-81,F2F,-32.8846732000000,-60.6934637000000,26 a 35, Masculino ,LIBERTARIOS,820840502
21-29-79-64,F2F,-32.9188330000000,-60.7036282000000,36 a 45, Femenino ,NINGUNO/NOSABE,820841013
16-53-72-77,F2F,-32.9188310000000,-60.7015505000000,46 a 55, Femenino ,JxC,820841014
33-52-26-63,F2F,-32.9193188000000,-60.7019451000000,56 y mas, Masculino ,FdT,820841014
97-65-95-19,F2F,-32.9192830000000,-60.7021761000000,56 y mas, Femenino ,FdT,820841014
60-33-90-60,F2F,-32.9206061549485,-60.7005741633475,26 a 35, Femenino ,PNK,820841017
80-36-02-32,F2F,-32.9207337000000,-60.7039014000000,46 a 55, Femenino ,FdT,820841017
88-84-75-28,F2F,-32.9202941000000,-60.7030536000000,26 a 35, Femenino ,PNK,820841017
94-39-26-50,F2F,-32.9207584122196,-60.7032890617847,26 a 35, Masculino ,JxC,820841017
29-38-84-70,F2F,-32.9207013662645,-60.7259405753335,26 a 35, Femenino ,FdT,820841104
74-83-57-74,F2F,-32.9312230846281,-60.6516485767042,36 a 45, Femenino ,JxC,820841509
94-78-51-09,F2F,-32.9380634654326,-60.6717507460671,26 a 35, Femenino ,JxC,820841609
48-06-06-38,F2F,-32.9326741576996,-60.6548653665387,16 a 25, Femenino ,NINGUNO/NOSABE,820841706
72-81-50-58,F2F,-32.9327706479748,-60.6546655201537,36 a 45, Masculino ,FdT,820841706
77-91-68-37,F2F,-32.9315139030567,-60.6537743074367,56 y mas, Masculino ,NINGUNO/NOSABE,820841707
70-95-28-50,F2F,-32.9315671569648,-60.6518305319614,26 a 35, Femenino ,NINGUNO/NOSABE,820841801
43-92-62-18,F2F,-32.9380872808520,-60.6516647545952,56 y mas, Femenino ,JxC,820841810
25-33-90-99,F2F,-32.9422032189348,-60.6529300411706,36 a 45, Femenino ,NINGUNO/NOSABE,820841818
96-32-78-61,F2F,-32.9420854501983,-60.6527653961238,26 a 35, Femenino ,FdT,820841818
57-54-06-69,F2F,-32.9398121083094,-60.6521916398554,26 a 35, Masculino ,LIBERTARIOS,820841908
72-79-77-32,F2F,-32.9461056839362,-60.6351487887596,16 a 25, Femenino ,JxC,820842108
72-38-46-54,F2F,-32.9454527300025,-60.6352949836719,26 a 35, Femenino ,NINGUNO/NOSABE,820842115
90-01-40-58,F2F,-32.9450773725133,-60.6349914276067,16 a 25, Masculino ,FdT,820842115
93-91-89-49,F2F,-32.9582241975474,-60.6360824796595,56 y mas, Femenino ,FdT,820842412
52-96-78-22,F2F,-32.9583982050870,-60.6280333843554,56 y mas, Femenino ,JxC,820842416
65-58-42-37,F2F,-32.9553463374574,-60.6433464049768,26 a 35, Femenino ,OTROS,820842613
38-21-81-27,F2F,-32.9555033198056,-60.6437020350445,46 a 55, Masculino ,NINGUNO/NOSABE,820842616
02-40-40-60,F2F,-32.9471291900101,-60.6638852089108,26 a 35, Masculino ,FIT,820842908
70-44-17-48,F2F,-32.9470777399263,-60.6634745314961,46 a 55, Masculino ,NINGUNO/NOSABE,820842908
95-29-62-65,F2F,-32.9476127819224,-60.6628535367384,26 a 35, Masculino ,JxC,820842908
36-04-83-07,F2F,-32.9578244000000,-60.7025723000000,56 y mas, Masculino ,FdT,820843306
48-98-17-65,F2F,-32.9565850700000,-60.7014079600000,26 a 35, Masculino ,OTROS,820843306
56-30-70-54,F2F,-32.9565292000000,-60.6995574000000,56 y mas, Femenino ,OTROS,820843306
67-13-95-63,F2F,-32.9575935700000,-60.7002757700000,36 a 45, Femenino ,JxC,820843306
75-83-70-22,F2F,-32.9577829500000,-60.7021436800000,56 y mas, Masculino ,LIBERTARIOS,820843306
36-01-40-47,F2F,-32.9568350000000,-60.6991055000000,16 a 25, Femenino ,LIBERTARIOS,820843307
38-73-44-80,F2F,-32.9572675000000,-60.6992073000000,56 y mas, Femenino ,PNK,820843307
45-15-97-65,F2F,-32.9567616000000,-60.6992319000000,36 a 45, Femenino ,FdT,820843307
60-25-42-18,F2F,-32.9565614000000,-60.6972210000000,46 a 55, Femenino ,PNK,820843307
86-26-22-37,F2F,-32.9583626000000,-60.6985305000000,46 a 55, Femenino ,FdT,820843308
73-96-66-43,F2F,-32.9641633031691,-60.6668793736164,56 y mas, Femenino ,NINGUNO/NOSABE,820843613
81-57-31-30,F2F,-32.9642817619175,-60.6668849889755,26 a 35, Femenino ,FdT,820843613
33-25-94-25,F2F,-32.9645436558287,-60.6666944161748,36 a 45, Femenino ,FdT,820843614
05-87-39-67,F2F,-32.9585645647095,-60.6357571045029,16 a 25, Masculino ,LIBERTARIOS,820843901
31-63-67-07,F2F,-32.9576685064649,-60.6379358800966,16 a 25, Femenino ,JxC,820843915
39-59-40-00,F2F,-32.9583260367187,-60.6366500403984,56 y mas, Femenino ,FIT,820843915
69-51-31-39,F2F,-32.9583096334340,-60.6369419451425,36 a 45, Masculino ,JxC,820843915
72-23-06-22,F2F,-32.9575988980873,-60.6378109448673,16 a 25, Masculino ,JxC,820843915
76-02-17-71,F2F,-32.9582802820482,-60.6369299746372,26 a 35, Masculino ,JxC,820843915
92-38-76-83,F2F,-32.9581375022440,-60.6368435101864,26 a 35, Femenino ,FdT,820843915
62-48-24-06,F2F,-32.9887308941611,-60.6645386780276,26 a 35, Masculino ,FdT,820844518
12-40-99-00,F2F,-32.9911240101418,-60.6663618835037,56 y mas, Masculino ,FdT,820844520
35-92-51-55,F2F,-32.9911913891646,-60.6656878088785,36 a 45, Masculino ,FdT,820844520
37-16-80-21,F2F,-32.9884910761586,-60.6644780646645,56 y mas, Femenino ,FdT,820844520
56-35-40-95,F2F,-32.9910375502003,-60.6660996526678,46 a 55, Femenino ,NINGUNO/NOSABE,820844520
84-25-10-66,F2F,-32.9887109100054,-60.6644672189659,46 a 55, Femenino ,JxC,820844520
08-31-22-57,F2F,-33.0109613000000,-60.6512306000000,36 a 45, Masculino ,OTROS,820845204
28-76-11-35,F2F,-33.0120734000000,-60.6521521000000,36 a 45, Femenino ,JxC,820845204
91-43-94-39,F2F,-33.0118912000000,-60.6521394000000,26 a 35, Femenino ,LIBERTARIOS,820845204
46-79-64-82,F2F,-33.0096850000000,-60.6539608000000,36 a 45, Masculino ,PNK,820845213
58-36-72-79,F2F,-33.0119369000000,-60.6530751000000,26 a 35, Femenino ,PNK,820845213
02-30-15-72,F2F,-33.0207559500000,-60.6319127500000,46 a 55, Masculino ,OTROS,820846102
11-45-75-22,F2F,-33.0202202000000,-60.6316069000000,56 y mas, Femenino ,NINGUNO/NOSABE,820846102
29-19-85-48,F2F,-33.0194785000000,-60.6333636000000,56 y mas, Femenino ,NINGUNO/NOSABE,820846102
36-07-31-43,F2F,-33.0210789000000,-60.6307874000000,56 y mas, Masculino ,FdT,820846102
44-24-49-04,F2F,-33.0204344400000,-60.6325814200000,16 a 25, Femenino ,JxC,820846102
51-95-61-80,F2F,-33.0203153300000,-60.6336449300000,56 y mas, Masculino ,JxC,820846102
52-04-45-73,F2F,-33.0183328500000,-60.6340423200000,56 y mas, Masculino ,NINGUNO/NOSABE,820846102
88-74-35-14,F2F,-33.0193482600000,-60.6320654600000,16 a 25, Femenino ,FdT,820846102
99-54-58-13,F2F,-33.0194441400000,-60.6328975200000,46 a 55, Femenino ,PNK,820846102
68-42-35-87,F2F,-32.9381452315910,-60.6784001865734,56 y mas, Masculino ,PNK,820848001
03-68-85-54,F2F,-32.9399397257448,-60.6672557826157,36 a 45, Masculino ,FdT,820848003
12-54-73-11,F2F,-32.9408631543260,-60.6676274456462,16 a 25, Masculino ,FdT,820848003
16-59-05-78,F2F,-32.9408176764675,-60.6676100047816,56 y mas, Femenino ,NINGUNO/NOSABE,820848003
31-04-38-36,F2F,-32.9406340986239,-60.6672804426621,46 a 55, Femenino ,NINGUNO/NOSABE,820848003
73-72-18-32,F2F,-32.9398658011042,-60.6667832929266,16 a 25, Masculino ,LIBERTARIOS,820848003
83-10-08-06,F2F,-32.9403361255592,-60.6673354833505,16 a 25, Masculino ,LIBERTARIOS,820848003
93-32-92-79,F2F,-32.9408896148570,-60.6673285292533,16 a 25, Femenino ,FdT,820848003
50-68-51-39,F2F,-32.9381697596472,-60.6788694232506,46 a 55, Femenino ,NINGUNO/NOSABE,820848104
01-32-47-77,F2F,-32.9177331675548,-60.7280150363469,36 a 45, Femenino ,FdT,820848213
40-12-35-78,F2F,-32.9181540325592,-60.7279826404527,26 a 35, Masculino ,NINGUNO/NOSABE,820848213
46-77-77-82,F2F,-32.9179913415998,-60.7272183456146,46 a 55, Masculino ,LIBERTARIOS,820848213
58-28-69-86,F2F,-32.9180005016573,-60.7273537486718,26 a 35, Femenino ,PNK,820848213
70-88-61-95,F2F,-32.9182244998517,-60.7272693151972,46 a 55, Masculino ,NINGUNO/NOSABE,820848213
72-13-64-32,F2F,-32.9181028598968,-60.7278685932875,56 y mas, Masculino ,FdT,820848213
26-16-18-17,F2F,-32.9915536806420,-60.6659740704646,56 y mas, Femenino ,OTROS,820848703
25-40-89-20,F2F,-33.0310979000000,-60.6225701000000,46 a 55, Masculino ,FdT,820848907
61-51-13-30,F2F,-33.0299400000000,-60.6198976000000,26 a 35, Masculino ,FIT,820848907
78-18-26-10,F2F,-33.0296289300000,-60.6216281500000,26 a 35, Masculino ,PNK,820848907
95-78-63-61,F2F,-33.0306490000000,-60.6217799000000,46 a 55, Femenino ,OTROS,820848907
